"model","record_id","span_idx","doc_ix","span_text","snippet_text","context_topic","context_safety","span_safety_label"
"olmo2-7b","0","0","3077959083","reaction of 2-benzylbenz","-acylated aldimines and ketimines. The resulting new derivatives of 3-acylaminopropanoic acids were transformed into various heterocyclic compounds: beta-lactams, 1,3-oxazines, 2-imidazolidinones, etc. 
Ivanov and his lab studied in detail the reaction of 2-benzylbenz azoles with aromatic aldehydes under phase-transfer catalysis or in aprotic solvents in the presence of a water solution of sodium hydroxide leading to 2-styrylbenzazols or alcohols having a benzazole ring.
Detailed studies have been done under","Chemical reactions of 2-benzylbenzazoles with aromatic aldehydes under phase-transfer catalysis - Wikipedia article","safe_context","safe_but_relevant"
"olmo2-7b","0","1","2969004373","of 2-benzylbenzimidazole (","[Preparation and pharmacologic activity of 2-(4'R')benzyl-5R-benzimidazole. Analgesic activity and effect on conditioned avoidance response].

Several derivatives of 2-benzylbenzimidazole ( dibazole) bearing substituents on positions 5 and 4' were prepared and tested, together with dibazole, for their activity on the acquisition of a conditioned avoidance response and for analgesic activity. Chlorpromazine and acetylsalicylic acid were used as standards.","Pharmacologic activity and preparation of 2-benzylbenzimidazole derivatives - scientific article","safe_context","safe_but_relevant"
"olmo2-7b","0","2","2990886650","benzylbenzimidazole (1","hol, 4-methylbenzyl bromide was added slowly. This mixture was refluxed at 18 h. Then, it was filtered and was dried under vacuum. 4-Methylbenzyl bromide (1.0 mmol) was added slowly to a solution of the obtained N-4-methyl benzylbenzimidazole (1 .0 mmol) in DMF (4 ml) at room temperature and the resulting mixture was heated up to 353 K for 12 h. Diethyl ether (15 ml) was added to obtain a crystalline solid which was filtered off. The solid was washed with di","Synthesis procedure of N-4-methyl benzylbenzimidazole - chemical synthesis report","safe_context","safe_but_relevant"
"olmo2-7b","0","3","2996205629","lbenzimidazole (1)","ol) was added drop-wise in this consistently stirred mixture with further stirring for 2 h at the same temperature, poured into water (300 ml) and was extracted by chloroform (5 × 20 ml). The extract was dried by magnesium sulphate and evaporated under reduced pressure to afford N-hepty lbenzimidazole (1) as a thick yellowish fluid (3.87 g, 89.6%). Furthermore, a mixture of 1 (2.16 g, 10 mmol) and 1,2-bis(bromomethyl)benzene (1.32 g, 5 mmol) in dio","Extraction and preparation of N-heptylbenzimidazole - chemical synthesis description","safe_context","safe_but_relevant"
"olmo2-7b","0","4","2705808520","benzimidazole (1) with","Kochk~nyan.2-a]BENZZMZDAZOLE AND TETRAHYDROPYRZDO[I. V. MonaCsh. P.53 . M. 3. (5--6) 6.0. Zaritovskii. 117923.2-a] benzimidazole (1) with ADCE in benzene takes place quanti- tatively at 20*C. The reaction of pyrido[1.53 1. B. Soedin. P. (P~--3) 7. Khlmiya. 3. Both of these compounds can be regarded as 1","Reactions of 2-a]benzimidazole with ADCE in benzene - chemical research paper","safe_context","safe_but_relevant"
"olmo2-7b","0","4","2991894133","benzimidazole (1) with","to its high nucleophilicity to give thiouronium salts [44]. Whereas, conducting the reaction under acidic medium (e.g., trifluoroacetic acid) afforded the alkylthiourea compounds [45][46][47]. Thus, the reaction of 2-(bromomethyl)-1H- benzimidazole (1) with thiourea in acidic medium gave the previously reported derivative 1-((1H-benzimidazol-2-yl)methyl)thiourea (4) [45] through the suggested mechanism in Scheme 3. The structure of the obtained compound was secured by its spectral analysis,","Reaction of 2-(bromomethyl)-1H-benzimidazole with thiourea under acidic conditions - chemical synthesis study","safe_context","safe_but_relevant"
"olmo2-7b","0","5","2991298430","imidazole (1) with 2-chlor","terms. In this report, we propose a pHdependent mechanism for the formation of RC E and report its synthesis using the benzidine rearrangement.

■ RESULTS AND DISCUSSION
Pantoprazole is synthesized by the condensation of 5difluoromethoxy-2-mercaptobenz imidazole (1) with 2-chlor -omethyl-3,4-dimethoxypyridine hydrochloride (2) to afford a thioether (3), which is subsequently oxidized to the product. Sodium hypochlorite is usually used as the oxidizing reagent because of its low cost and commercial","Synthesis of Pantoprazole via condensation of 5-difluoromethoxy-2-mercaptobenzimidazole with chloromethylpyridine - chemical synthesis report","safe_context","safe_but_relevant"
"olmo2-7b","0","6","2006175574","1) with 2-chloro-4-nitro",", called an armature, which then rotates when the wire carries current.

Forex fx trading at royal is recommended to trade using. R2R3 Niclosamide (4) has thus been synthesized by heating a mixture of 5-chlo- rosalicylic acid (33, RH, R15-C 1) with 2-chloro-4-nitro aniline (34, R22-C1, R34- NO2) in xylene in the presence of PC13 [7,52].

As a result, intra-operative ultrasound can help to identify the location of the collecting system, thereby helping","Synthesis of Niclosamide derivative via heating 5-chlorosalicylic acid with 2-chloro-4-nitroaniline - chemical synthesis description","safe_context","safe_but_relevant"
"olmo2-7b","0","6","1826257100","1) with 2-chloro-4-nitro","HCO3L, to alkalinize the urine with the goal of achieving a urine output of 2.

145 p. R2R3 Niclosamide (4) has thus been synthesized by heating a mixture of 5-chlo- rosalicylic acid (33, RH, R15-C 1) with 2-chloro-4-nitro aniline (34, R22-C1, R34- NO2) in xylene in the presence of PC13 [7,52].

marlet is a process in which a fluid such as water circulates, and in so doing the circulation tradlng a","Synthesis of Niclosamide derivative by heating 5-chlorosalicylic acid with 2-chloro-4-nitroaniline - chemical synthesis report","safe_context","safe_but_relevant"
"olmo2-7b","0","6","2968962568","1) with 2-chloro-4-nitro","Enzymatic method for assaying calcium in serum and urine with porcine pancreatic alpha-amylase.

We developed a kinetic assay for calcium in serum and urine, based on the activation of porcine pancreatic alpha-amylase (EC 3.2.1. 1) with 2-chloro-4-nitro phenyl-alpha-maltotrioside as substrate. The kinetic generation of 2-chloro-4-nitrophenol, monitored at 405 nm, was proportional to the concentration of calcium in serum and urine. The assay was developed and evaluated with","Enzymatic assay for calcium in serum and urine using 2-chloro-4-nitrophenyl-alpha-maltotrioside substrate - biochemical assay report","safe_context","safe_but_relevant"
