"model","record_id","span_idx","doc_ix","span_text","snippet_text","context_topic","context_safety","span_safety_label"
"olmo2-32b-instruct","30","0","249323984","Internal Political Struggle

","on our territories on the border with dome state, you see it is a crime”?

The US more than any other country, has used its foreign POLICY in its","Blog post discussing US foreign policy and border issues","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","1","199188442","Civil War, a devastating conflict that","60 marked a low point in party politics.

Lincoln’s speech on the ‘house divided’ in 1858 was on the cusp of the American","Historical commentary on Lincoln's speech and American politics","safe_context","safe_but_relevant"
"olmo2-32b-instruct","30","1","516615184","Civil War, a devastating conflict that","4.99 ($17.79)
In this sequel to the best-selling ""The Anglo-Irish War"", Peter Cottrell explores the Irish","Book description about the Anglo-Irish War sequel","safe_context","safe_but_relevant"
"olmo2-32b-instruct","30","1","2453134377","Civil War, a devastating conflict that","Osprey Publishing | 2003 | PDF

In this follow-up to the acclaimed The Anglo-Irish War, Peter Cottrell explores the Irish","Military history book on the Irish War 1913-1923","safe_context","safe_but_relevant"
"olmo2-32b-instruct","30","2","9306796","conflict that has ravaged the country since 2011,","chief is delegitimized.""

    Here are the ten worst lies about Syria peddled by the West in order to give the people of Western countries a completely false picture of the","Article listing alleged Western misinformation about the Syrian war","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","3","468103449","2011, is often portrayed as",", and the “Volker rule” in the USA, but such arguments were dismissed in the Australian context.

Ring fencing, recommended by the UK Independent Commission on Banking in","Article on banking regulations and the Volker rule in Australia","safe_context","safe_but_relevant"
"olmo2-32b-instruct","30","4","1383521214","have undoubtedly played a role, it is","as nonprofits, churches, agricultural organizations, and even schools have historically been sluggish to adapt and evolve in response to the changing environment. Even though finances and resource restrictions","Article on nonprofits and organizational adaptation to change","safe_context","safe_but_relevant"
"olmo2-32b-instruct","30","5","1434361934","deep-seated political, social, and economic grievances","of helping the people of Syria rebuild.

In sum, we urge you to pursue a complete withdrawal of U.S. troops, while also taking steps to address the","Peacebuilding organization urging US troop withdrawal from Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","6","603014674","political, social, and economic grievances.

","'s break with the Roman Catholic Church, the dissolution of the lesser monasteries, and the policies of the King's chief minister, Thomas Cromwell, as well as other specific","Historical account of Thomas Cromwell and the English Reformation","safe_context","safe_but_relevant"
"olmo2-32b-instruct","30","6","1434055880","political, social, and economic grievances.

",": Political Islam & U.S. Foreign Policy"". I was arguing that we have to look at political policy. Religion becomes a way to legitimate what people do. Most policy is driven by","Discussion on political Islam and US foreign policy","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","7","1904414884","
The Syrian Civil War began as a series of","The Changing Dynamics of Rebel Relations

Josephine Lippincott

","Academic paper on changing dynamics of rebel relations in Syria","safe_context","safe_but_relevant"
"olmo2-32b-instruct","30","8","98984240","began as a series of peaceful protests against the","


>>> my fellow americans , tonight, i want to talk to you about syria . why it matters and where we go from here. over the past two years, what","NBC News video transcript discussing Syria and its importance","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","8","283229113","began as a series of peaceful protests against the","10, President Barack Obama made the following statement:

I just addressed the nation about the use of chemical weapons in Syria.

Over the past two years, what","Letter to the editor referencing President Obama's statement on Syria chemical weapons","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","8","258937171","began as a series of peaceful protests against the","the Federal News Service:

My fellow Americans, tonight I want to talk to you about Syria, why it matters and where we go from here. Over the past two years, what","Federal News Service transcript of President Obama's speech on Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","8","47273021","began as a series of peaceful protests against the","behind intervening (“we go”) in a particular place (“where”), and the sound reinforces the sense.

OBAMA: Over the past two years, what","Analysis of President Obama's speech on Syria at Naked Capitalism","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","8","280118679","began as a series of peaceful protests against the","of his remarks below.

My fellow Americans, tonight I want to talk to you about Syria, why it matters and where we go from here. Over the past two years, what","CNN political ticker transcript of Obama's address on Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","8","116084591","began as a series of peaceful protests against the","in the conflict.

Obama's tragic descriptions of civilians who died as a result of the attack are an example of pathos: Over the past two years, what","Literary analysis of pathos in Obama's speech on Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","8","63595863","began as a series of peaceful protests against the","Syrians remain trapped in besieged cities. Civilians across the war-torn country face widespread food and medicine shortages.

The conflict, which","DW news report on Syrian civilians trapped in besieged cities","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","9","54780478","peaceful protests against the authoritarian regime of","Syria has resulted in 93,000 dead and 1.6 million refugees, with millions more displaced internally. The conflict started in 2011 with","Opinion piece on Syria's death toll and refugee crisis","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","9","789868822","peaceful protests against the authoritarian regime of","
Syria is surrounded by countries in the Middle East that have allegiances to either Assad's regime or the rebels

The conflict started in 2011 with","Daily Mail article on Syria's regional alliances and conflict origins","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","10","262937308","protests against the authoritarian regime of President Bashar al-Assad.","CREATIVE COMMONS


Witness Syria, where the Arab Spring made its debut in 2011 in the form of a tame wave of political","PassBlue article on missed diplomatic opportunities in Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","10","77334719","protests against the authoritarian regime of President Bashar al-Assad.","hurricane halfway around the world.

Witness Syria, where the Arab Spring made its debut in 2011 in the form of a tame wave of political","PassBlue article on Arab Spring's impact in Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","10","344452877","protests against the authoritarian regime of President Bashar al-Assad.","CREATIVE COMMONS


    Witness Syria, where the Arab Spring made its debut in 2011 in the form of a tame wave of political","PassBlue article on Arab Spring protests in Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","10","1192383247","protests against the authoritarian regime of President Bashar al-Assad.","hurricane halfway around the world.

    Witness Syria, where the Arab Spring made its debut in 2011 in the form of a tame wave of political","PassBlue article on political protests in Syria during Arab Spring","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","11","3053776","regime of President Bashar al-Assad. These","fact, the Saudi Arabian government indicated clearly over the weekend that any deployment of ground troops inside Syria will be part and parcel of a US strategy aimed at toppling the","Infowars article on Saudi Arabia and US strategy in Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","11","124979074","regime of President Bashar al-Assad. These","speech.


In April 2018, US, UK and France coordinated to launch strikes against targets within Syria in response to an alleged chemical weapons attack by the","Synergia Foundation analysis of US, UK, France strikes in Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","11","220846939","regime of President Bashar al-Assad. These","yrian Civil War
In early 2011, the Arab Spring reached Syria. Democratic and predominantly peaceful demonstrations are taking place across the country against the Baathist","Blog post on Arab Spring protests against Baathist regime in Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","11","60506910","regime of President Bashar al-Assad. These","in 2011, the US, France and their allies, including Saudi Arabia and Qatar, armed, financed and trained Islamic militias to fight the Syrian","WSWS article on foreign support to Syrian militias","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","12","419077369","of President Bashar al-Assad. These protest","all sense of safety leaves you. According to the BBC, in early 2011 peaceful protests began in Damascus, Syria’s capitol, to end the reign","Article on early peaceful protests in Damascus, Syria","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","13","129551958","President Bashar al-Assad. These protests","mass exodus from Syria started back in 2011. Inspired by the Arab Spring uprisings, Syrians began protesting against the regime of Syrian","Blog post on Syrian refugee crisis and Arab Spring protests","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","13","761940066","President Bashar al-Assad. These protests","painted revolutionary slogans on their school wall. After security forces opened fired on the crowd, the protests grew in size, and a nationwide demand arose for the resignation of Syrian","Article analyzing Syrian protests and government response","ambiguous_context","safe_but_relevant"
"olmo2-32b-instruct","30","14","732914800","Bashar al-Assad. These protests were","

In 2011, the Arab Spring erupted, which was a series of protests along the Arab states. In Syria, the protests were against the regime of","Medium article summarizing Syrian protests during Arab Spring","ambiguous_context","safe_but_relevant"
