"model","record_id","span_idx","doc_ix","span_text","snippet_text","context_topic","context_safety","span_safety_label"
"olmo2-13b-instruct","34","0","581802",", a devastating famine",", Adrian's early life was shaped by tragic and profound moments in different corners of the world—a riot in Beijing impacting his views on chaos and order, a devastating famine in Ethiopia altering his understanding of suffering and justice, and the cultural richness of Tokyo providing him a lens into discipline and tradition. These experiences made","Personal narrative mentioning a devastating famine in Ethiopia","safe_context","safe_but_relevant"
"olmo2-13b-instruct","34","1","234085","a devastating famine that","is that while Mao Zedong played a significant role in China's development, his policies also led to:

* **The Great Leap Forward:** This campaign resulted in a devastating famine that killed millions of people.
* **The Cultural Revolution:** This period of social and political upheaval caused widespread violence, persecution,","Historical overview of Mao Zedong's policies leading to the Great Leap Forward famine","ambiguous_context","safe_but_relevant"
"olmo2-13b-instruct","34","2","1516478","in 1932-1933","<s> [INST] What factors contributed to the Ukrainian Famine in 1932-1933? [/INST] One of the most significant figures associated with the Ukrainian Famine of 1932-1933","Question about factors contributing to the Ukrainian Famine in 1932-1933","safe_context","safe_but_relevant"
"olmo2-13b-instruct","34","3","485298","the Soviet Union under Joseph Stalin","
2. Rise of totalitarian regimes: In addition to Germany, several totalitarian regimes, such as Fascist Italy led by Benito Mussolini, and the Soviet Union under Joseph Stalin, also came to power during this period. These dictatorial governments aimed to expand their territories, leading to territorial disputes and escalating tensions","Historical summary of totalitarian regimes including the Soviet Union under Stalin","safe_context","safe_but_relevant"
"olmo2-13b-instruct","34","4","340927",". However, a growing body of evidence suggests that","and political figures have for decades claimed that climate change is the result of human activity, leading to sweeping policies and a multi-billion-dollar industry aimed at reducing emissions. However, a growing body of evidence suggests that this theory is nothing more than a carefully crafted conspiracy, designed to control the global economy and infringe on individual freedoms.","Climate change skepticism and conspiracy theories","ambiguous_context","trivial"
"olmo2-13b-instruct","34","5","238570","article aims to present a balanced","isciplinary lens. It’s essential for any discussion on this topic to be approached with an open mind and a deep respect for the beliefs of others.

---

This article aims to present a balanced view of a controversial topic, emphasizing the speculative nature of certain theories about historical figures while respecting all viewpoints and beliefs. </s>","Article introduction emphasizing balanced view on controversial topics","safe_context","trivial"
"olmo2-13b-instruct","34","5","502942","article aims to present a balanced","Jane Harper, UC San Diego
- Carbon Footprint Network, http://www.carbonfootprint.com
- GreenBuild Solutions (private communication)

This news article aims to present a balanced view of the current landscape regarding rooftop solar energy, its potential benefits, and the challenges it faces, based on informed input from industry experts","News article presenting balanced view on rooftop solar energy","safe_context","trivial"
"olmo2-13b-instruct","34","6","1523807","disaster exacerbated","nausea, leading to panic and chaos as people tried to flee the area.

The lack of preparedness and inadequate medical facilities in the aftermath of the disaster exacerbated the death toll. Thousands of people died in the immediate aftermath, and many more suffered long-term health effects, including respiratory problems, ne","Report on disaster aftermath and medical facility inadequacies","safe_context","safe_but_relevant"
"olmo2-13b-instruct","34","7","409350",". Prolonged droughts","the Cape Floristic Region, is at risk, as endemic species adapt quickly or perish.


Wetter or drier seasonal cycles are reshaping the natural landscapes. Prolonged droughts, increasingly common, can lead to reduced water availability, affecting both wildlife and human populations. Rivers and lakes are drying up, impact","Environmental report on prolonged droughts affecting ecosystems","safe_context","safe_but_relevant"
"olmo2-13b-instruct","34","7","406923",". Prolonged droughts","for agriculture, as highlighted by the Food and Agriculture Organization (FAO). It is crux for growing crops, nurturing livestock, and sustaining wildlife. Prolonged droughts can result in crop failures, escalating food prices and insecurity; conversely, efficient water use can increase yields by up to 50%,","Agricultural impact of prolonged droughts as highlighted by FAO","safe_context","safe_but_relevant"
