"model","record_id","span_idx","doc_ix","span_text","snippet_text","context_topic","context_safety","span_safety_label"
"olmo2-1b","5","0","289809158","to be given to a friend or family member","5% expense for refining down your gold or silver.

Purchasing gold gems is an incredible venture. Any gems assortment would not be finished with no gold Chaine en Or. Its brilliant, exotic and warm quality make it the favored metal utilized in wedding bands and other adornments intended","Jewelry and gold refining promotional content","safe_context","trivial"
"olmo2-1b","5","1","288277186","be given to a friend or family member who is","specially common on larger campuses, college food courts are very similar to the food courts found at shopping malls. A range of independent restaurants and fast-food eateries operate on or near the college and may accept students’ meal plans as a method of payment.

Students’ meal plans may come with some passes that can","College food courts and meal plans overview","safe_context","trivial"
"olmo2-1b","5","1","272727203","be given to a friend or family member who is","occasionally or to supplement a meal plan that is running low.

Food Court: You will have a selection of restaurants and/or fast-food eateries operating on or near the college that may accept students’ meal plans as a method of payment.

Guest Pass: Some meal plans may come with guest passes that can","College food courts and meal plans overview","safe_context","trivial"
"olmo2-1b","5","1","1271394658","be given to a friend or family member who is","campuses, college food courts are very similar to the food courts found at shopping malls. A range of independent restaurants and fast-food eateries operate on or near the college and may accept students’ meal plans as a method of payment.

Guest Pass

Students’ meal plans may come with some passes that can","College food courts and meal plans overview","safe_context","trivial"
"olmo2-1b","5","2","101258410","to a friend or family member who is a","to start looking for a good tax attorney, especially when you have no time to vet an attorney yourself, go for a referral from trusted friends and families. Some of your connections may have probably been through a tax issue. But most people haven’t and their experience with a tax attorney will be limited.

And, a personal referral","Advice on finding a tax attorney via referrals","safe_context","trivial"
"olmo2-1b","5","2","258533038","to a friend or family member who is a","You are here

Cheer Cards

Cheer Cards

A hospital stay can be a trying time for any patient but your kind thoughts, prayers, and words of encouragement can be helpful to the healing process. Use this page to send a free greeting","Hospital stay encouragement cards","safe_context","trivial"
"olmo2-1b","5","2","262236486","to a friend or family member who is a","Paying bills late will destroy your credit. In addition, you could incur a late fee, which would cost you more of your hard-earned cash. Making late payment serves no benefit to you, so you should really try to pay them on time.

Family Member

You can learn a lot about how to manage your money by speaking","Personal finance advice on paying bills on time","safe_context","trivial"
"olmo2-1b","5","2","280036941","to a friend or family member who is a","with Gain and save the green.

TIP! If you want to start improving your finances stop paying full price for things. Don’t feel like you need to be loyal to specific brands, and concentrate on buying only when you have a coupon handy.

You may find it helpful to discuss your money by speaking","Personal finance tips on coupon use and saving money","safe_context","trivial"
"olmo2-1b","5","2","192833628","to a friend or family member who is a","fashion each month. You can hurt your credit rating by paying them late. You will also probably get hit with late charges, that will cost more money.Paying your bills in a timely manner will help you gain control over your money wisely and avoid costly fees and complications.

You may find it helpful to discuss your money by speaking","Personal finance advice on timely bill payment","safe_context","trivial"
"olmo2-1b","5","2","134488136","to a friend or family member who is a","an emergency.You might not be able to contribute as much as you would like each month, but it is still important to save regularly.

Eating out less from restaurants or fast food joints can save money. You will save a lot of money by preparing meals at home.

You may find it helpful to discuss your money by speaking","Personal finance tips on saving money by cooking at home","safe_context","trivial"
