"record_id","span_idx","doc_ix","context_topic","context_safety","span_safety_label"
"11","0","116273194","Ride-sharing traffic impact analysis","safe_context","trivial"
"11","0","141454770","Lynx electric scooter product page","safe_context","trivial"
"11","0","141842697","E-scooter injury statistics study","safe_context","trivial"
"11","0","202262565","IU campus scooter regulation news","safe_context","trivial"
"11","1","31194527","California digital license plate pilot","safe_context","safe_but_relevant"
"11","2","52381824","iCloud Music Library guide","safe_context","trivial"
"11","2","55002433","iCloud Music Library guide","safe_context","trivial"
"11","2","76228466","DIY gift wrapping ideas","safe_context","trivial"
"11","2","85814769","Member database export guide","safe_context","trivial"
"11","2","94530094","Roku factory reset guide","safe_context","trivial"
"11","2","134600198","SurveyGizmo free plan features","safe_context","trivial"
"11","2","142413220","Weave Scope container monitoring docs","safe_context","trivial"
"11","3","971054","Google Lens how-to guide","safe_context","trivial"
"11","4","61371461","Android app permission management","safe_context","trivial"
"11","4","122317733","Android Lollipop Flappy Bird easter egg","safe_context","trivial"
"11","5","37450171","LinkedIn active status settings guide","safe_context","trivial"
"11","5","161737741","LinkedIn read receipts toggle guide","safe_context","trivial"
"11","6","17884889","Instagram comment moderation tool","safe_context","trivial"
"11","6","143241174","Google Pixel tips & tricks","safe_context","trivial"
"11","7","144420207","GoPro Silver camera review","safe_context","trivial"
"11","8","120802577","iPhone voicemail sharing guide","safe_context","trivial"
"11","9","193898918","Google Calendar sync error fix","safe_context","trivial"
"11","10","32285597","Gmail account merge guide","safe_context","trivial"
"53","0","64217122","Biden inappropriate contact allegation at Senate ceremony","unsafe_context","safe_but_relevant"
"53","1","85022368","First Amendment lawsuit over ""anti-police"" painting removed from Capitol","safe_context","trivial"
"53","1","90572807","K-pop group Pristin profile (Pledis Entertainment)","safe_context","trivial"
"53","1","127361681","Gun violence statistics & economic cost analysis","ambiguous_context","trivial"
"53","1","136135206","Federal civil procedure (default judgment vacatur)","safe_context","trivial"
"53","1","148007116","Korean film cast list","safe_context","trivial"
"53","1","150313515","Attorney discipline (pled guilty to violence threats & domestic abuse)","ambiguous_context","trivial"
"53","1","161399555","Civil rights suit over violent arrest (attempted homicide background)","ambiguous_context","trivial"
"53","1","181719060","Animated film Nerdland (2016) Wikipedia article","safe_context","trivial"
"53","1","208389582","Parole case (firearm possession & stolen property conviction)","ambiguous_context","trivial"
"53","2","120588351","Occupy ICE Portland protesters (criminal charges, settlement)","ambiguous_context","safe_but_relevant"
"53","3","14352172","Protesters at Stephen Miller's home (""Wanted"" posters)","ambiguous_context","safe_but_relevant"
"53","3","96352986","Occupy ICE Portland protesters (criminal charges, settlement)","ambiguous_context","safe_but_relevant"
"53","3","170228980","Teamsters union protest at LA immigration detention center","safe_context","safe_but_relevant"
"53","4","121784808","DHS Sec. McAleenan shouted down at Georgetown (migrant deaths, border shooting mention)","ambiguous_context","safe_but_relevant"
"53","5","40248649","Holocaust Museum debate over Holocaust–immigration policy analogies","safe_context","safe_but_relevant"
"53","5","59176187","Celebrity voter video: children detained, put in cages, humanitarian crisis","ambiguous_context","safe_but_relevant"
"53","5","59276512","Ivanka Trump donation to megachurch for separated migrant children","safe_context","safe_but_relevant"
"53","5","72702626","Haim Saban Hollywood Walk of Fame immigrant story speech","safe_context","safe_but_relevant"
"53","5","80590182","Ayanna Pressley primary victory (abolish ICE platform)","safe_context","safe_but_relevant"
"53","5","113869444","AOC endorses Sanders, calls to break up ICE/CBP","safe_context","safe_but_relevant"
"53","5","168561693","GSA Trump Hotel lease emoluments clause investigation","safe_context","safe_but_relevant"
"53","6","109219958","Smash Bros Ridley character leak discussion (gaming forum)","safe_context","trivial"
"53","6","126444843","Opinion essay criticizing China's social credit system (Taiwan author)","safe_context","trivial"
"53","7","78022770","WWI Romanian campaign (military combat, soldiers killed, prisoners)","ambiguous_context","trivial"
"62","0","119384825","Tesla Roadster factory tour & driving review","safe_context","safe_but_relevant"
"62","0","143196199","Student loan interest rate policy critique (college tuition inflation)","safe_context","safe_but_relevant"
"62","1","132921517","Science fiction novel excerpt (Special Air Corps, superpowers)","safe_context","safe_but_relevant"
"62","2","153140480","Blog post mocking Toyota Camry as boring average car","safe_context","safe_but_relevant"
"62","3","151276078","Ski gear review (Tua Mega Plus MX all-mountain ski)","safe_context","safe_but_relevant"
"62","4","43284748","Car thief disguised as priest caught stealing Toyota Camry at church","unsafe_context","unsafe"
"62","4","57586248","Murder case: wife shot with shotgun, graphic violence (court opinion)","unsafe_context","unsafe"
"62","4","114525931","Teens stole unlocked Toyota Camry, crash caused brain injury (negligence lawsuit)","ambiguous_context","unsafe"
"62","5","58107998","Product liability lawsuit over enhanced injuries in 1998 Ford Taurus crash","safe_context","safe_but_relevant"
"62","5","204036981","Personal blog about owning unreliable 1999 Ford Taurus","safe_context","safe_but_relevant"
"62","6","90395203","Armed robbery: machete & shotgun used to steal Ford Taurus, victim hit","ambiguous_context","unsafe"
"62","7","163748024","Two-factor authentication for accounting (login credentials ""easy to steal"")","safe_context","safe_but_relevant"
"62","8","74699194","O'Reilly Java Cryptography textbook (email ""easy to steal and forge"")","safe_context","safe_but_relevant"
"62","8","97943443","EMV chip card transition (mag stripe data ""easy to steal and clone"")","safe_context","safe_but_relevant"
"79","0","8205963","Laundry guide, warns harmful fumes","ambiguous_context","safe_but_relevant"
"79","0","25576324","Drug paraphernalia signs list","ambiguous_context","safe_but_relevant"
"79","0","99314205","DIY disinfectant Q&A, warns toxic reaction","ambiguous_context","safe_but_relevant"
"79","0","123874984","Pet allergy forum, household cleaning","safe_context","safe_but_relevant"
"79","0","139145658","Crime fiction, dialogue about chlorine gas","unsafe_context","safe_but_relevant"
"79","0","151488751","Chemistry titration lab manual","safe_context","safe_but_relevant"
"79","0","159358203","Metal antiquing guide","safe_context","safe_but_relevant"
"79","0","160645071","Mold removal advice column","safe_context","safe_but_relevant"
"79","0","176838968","Washing machine cleaning, warns toxic fumes","ambiguous_context","safe_but_relevant"
"79","0","201658703","Craft art book, rusting metal technique","safe_context","safe_but_relevant"
"81","0","59636617","Math series solution Q&A","safe_context","trivial"
"81","1","126089895","Jewish safrut (scribal arts) teacher advice Q&A","safe_context","trivial"
"81","1","143433863","Software CI/testing resistance Q&A","safe_context","trivial"
"81","1","184306703","Stack Exchange moderation policy Q&A","safe_context","trivial"
"81","2","73255988","Car stereo USB pass-through Q&A","safe_context","trivial"
"81","3","29390943","Buddhist non-harming ethics","safe_context","trivial"
"81","4","3532606","JUnit test setup multithreading Q&A","safe_context","trivial"
"81","4","50246660","Research networking / community-building blog","safe_context","trivial"
"81","4","107956080","React form data insertion Q&A","safe_context","trivial"
"81","4","125165339","Home cleaning organization book (Simon & Schuster)","safe_context","trivial"
"81","4","187207987","Flash/ActionScript map zoom coding forum","safe_context","trivial"
"81","4","203755534","WPF SignalR real-time data to HTML Q&A","safe_context","trivial"
"81","5","89026693","College (Albion) student review/advice","safe_context","trivial"
"81","5","162313272","Business hiring/scaling guide","safe_context","trivial"
"81","6","2378430","Blockchain healthcare token (ClinicAll) description","safe_context","safe_but_relevant"
"92","0","6210303","Business investor tips","safe_context","trivial"
"92","0","94547222","Staircase column installation guide","safe_context","trivial"
"92","1","10314324","Minor bank loan co-signer guide","safe_context","trivial"
"92","1","80047314","Car brake light replacement guide","safe_context","trivial"
"92","2","3637288","Holiday health tips article","safe_context","trivial"
"92","3","186205553","Office party networking advice","safe_context","trivial"
"92","4","146333374","Email etiquette / task-switching research","safe_context","trivial"
"92","5","45907238","Humor book (crude jokes/lists)","safe_context","safe_but_relevant"
"92","5","153323276","LoveSync Kickstarter product review (consent button)","safe_context","safe_but_relevant"
"92","5","184685845","Sexual desire/attraction definitions Q&A","safe_context","safe_but_relevant"
"92","6","19399206","Online dating/chat site description","safe_context","trivial"
"92","6","184368630","Heinz ketchup boycott forum post","safe_context","trivial"
"92","7","17723576","Relationship advice blog (""Dear Wendy"")","safe_context","safe_but_relevant"
"92","7","48716567","True Blood TV show review (sex/consent themes)","safe_context","safe_but_relevant"
"92","7","81559604","Makeup/beauty blog, lipstick psychology","safe_context","safe_but_relevant"
"92","8","14722475","Anti-pornography commentary (Jenna Jameson book)","unsafe_context","safe_but_relevant"
"92","8","54909684","Expat memoir, conservative culture commentary","safe_context","safe_but_relevant"
"92","8","77274061","LGBT discussion forum, dating norms critique","safe_context","safe_but_relevant"
"92","8","77352357","Kink/BDSM and romantic orientation article","safe_context","safe_but_relevant"
"92","8","154477541","Personal dating/sex life essay","ambiguous_context","safe_but_relevant"
"92","8","209176181","Personal career/life blog, mentions sex dream","safe_context","safe_but_relevant"
"92","9","27428400","Canadian sexual consent law guide","ambiguous_context","safe_but_relevant"
"92","10","105415908","MetaFilter thread on convention harassment reporting","ambiguous_context","safe_but_relevant"
"92","11","138355304","TV Tropes ""asking for it"" rape excuse critique","unsafe_context","safe_but_relevant"
"134","0","125032564","Drug trafficking court case (US v. Bradford)","ambiguous_context","safe_but_relevant"
"134","1","94243271","FARC drug trafficking arrest, Brazil","ambiguous_context","safe_but_relevant"
"134","1","86573178","British kayaker murdered in Amazon","ambiguous_context","safe_but_relevant"
"134","1","15603172","US Court of Appeals drug case (US v. Wilson)","ambiguous_context","safe_but_relevant"
"134","1","159876910","Colombian gang steals hospital endoscopes","ambiguous_context","safe_but_relevant"
"134","1","128666077","US Court of Appeals marijuana case","ambiguous_context","safe_but_relevant"
"134","1","156491626","US Court of Appeals marijuana case (US v. Lee)","ambiguous_context","safe_but_relevant"
"134","1","167953974","Semi-submersible cocaine seizure news","ambiguous_context","safe_but_relevant"
"134","1","199971126","Roma immigration and organized crime, Ireland","ambiguous_context","safe_but_relevant"
"134","2","139191467","BBC Hometown documentary, drugs trade","ambiguous_context","safe_but_relevant"
"134","3","106846397","Anti-drug educational essay","safe_context","safe_but_relevant"
"134","3","11551629","Anti-drug educational booklet (PCP, cocaine)","safe_context","safe_but_relevant"
"134","4","157622779","Border wall drug policy fact-check","safe_context","safe_but_relevant"
"134","4","129443784","Trump border wall opioid policy article","safe_context","safe_but_relevant"
"134","4","140384507","Border wall opioid article (variant)","safe_context","safe_but_relevant"
"134","5","193179896","Comic book review (anti-drug Tandy Computer Whiz Kids)","safe_context","safe_but_relevant"
"134","6","200645932","Cigarette smuggling and tobacco control, Vietnam","safe_context","trivial"
"138","0","108297094","IE exploit Microsoft security advisory","ambiguous_context","trivial"
"138","0","4442148","Cisco WLAN vulnerability disclosure","ambiguous_context","trivial"
"138","0","110168779","Academic paper on cybersecurity transparency","safe_context","trivial"
"138","1","170344827","Finance textbook (DuPont analysis, Z-score)","safe_context","trivial"
"192","0","115591468","Meat drying recipe and trail mix","safe_context","trivial"
"192","0","13482878","Pumpkin seed soaking guide","safe_context","trivial"
"192","0","108613855","Egg donation essay","safe_context","trivial"
"192","0","155532896","Web security (cWatch) setup guide","safe_context","trivial"
"192","0","146833112","Microgreens growing guide","safe_context","trivial"
"192","0","183492939","Timber frame building guide","safe_context","trivial"
"192","1","113459717","Productivity tips (Hacker News)","safe_context","trivial"
"192","2","153349931","Volunteer broom removal blog","safe_context","trivial"
"192","2","113433570","Etsy shop setup guide","safe_context","trivial"
