"record_id","span_idx","doc_ix","span_text","snippet_text","span_safety_label","context_safety","context_topic"
"182","0","123135042","The information provided here is for educational purposes only and should","You should educate yourself on eBay tax issues to avoid unpleasant tax surprises from the IRS. This section goes over your income and sales tax obligations as an eBay seller. Even if you understand the issues today, there is new proposed legislation that can change everything.

DISCLAIMER: We are not accountants.","trivial","safe_context","Guidance for eBay sellers on tax obligations (web article, with disclaimer)"
"182","0","195019256","The information provided here is for educational purposes only and should",", or limit drug weights. A federal judge can reject the deal, which will require the parties to go back and re-negotiate.

    <a href="""">Raleigh criminal lawyer</a> Damon Chetson represents people in Raleigh, Cary, Apex, and the rest of Wake County, North Carolina.","trivial","ambiguous_context","Raleigh criminal lawyer site discussing plea deals and drug weight negotiations (legal article)"
"182","0","108228473","The information provided here is for educational purposes only and should","neffective Assistance of Counsel claim.

    There is also no formal way to change the sentence from box car to concurrent.

    <a href="""">Raleigh criminal lawyer</a> Damon Chetson represents people in Raleigh, Cary, Apex, and the rest of Wake County, North Carolina.","trivial","ambiguous_context","Raleigh criminal lawyer page on sentencing and ineffective assistance of counsel (legal information)"
"182","0","54133872","The information provided here is for educational purposes only and should","Liquid Death

Warning:","trivial","safe_context","Article or blog mentioning 'Liquid Death' with a warning header"
"182","0","199344509","The information provided here is for educational purposes only and should","

Previously published in the Michaelmas 2010 edition of BlueSci and on the Naked Scientists website in November 2010

Credit to Maciej Cegłowski who’s own piece on Scott and Scurvy, brought this tale to my attention

Liquid Death

Warning:","trivial","safe_context","BlueSci/Naked Scientists article on Scott and Scurvy (historical/science article), includes 'Liquid Death' warning"
"182","0","79040388","The information provided here is for educational purposes only and should","life is far more sacred than being right.

In spite of these views, I accept that when my grandmother made that final reflection to my father, her faith provided no comfort. At that point of already having undergone her last rites, it was the atheist she looked to for hope.

Liquid Death

Warning:","trivial","safe_context","Personal reflection on faith and death (essay/blog) referencing 'Liquid Death' warning"
"182","0","56487776","The information provided here is for educational purposes only and should","Forgotten Knowledge: The Discovery and Loss of a Cure to Scurvy








“It was a triumph”










In Defence of Faith









Liquid Death

Warning:","trivial","safe_context","Article on the discovery and loss of a cure to scurvy (historical science writing)"
"182","1","1133926244","lead to data loss, privacy breaches, and","while also keeping employees safe. The challenges on the negative front are plenty. Phishing campaigns related to COVID-19 have seen a steady uptick since the early part of the year. Due to the pressing nature of the issue, a high proportion of users have fallen victim to the scam. In addition to this, the use of unprotected devices could","trivial","ambiguous_context","Article on COVID-19 phishing campaigns and cybersecurity risks"
"182","2","3010804206",".

**Detailed Instructions","were mapped. It is often used for ""hash tags"" to help identify the organization requesting and/or doing the mapping. It can also describe the mapping being done, e.g., ""Mapping buildings.""

> Users should be instructed to fill in meaningful comments about what they mapped, but helping them out with good default comments is always a good idea","trivial","safe_context","Mapping documentation discussing use of hashtags and mapping comments (how-to doc)"
"182","3","3060811321","Detailed Instructions:**

","map size. The result will look nicest if you use the same aspect ratio as the original image.

Import the `.json` file into Shmeppy using the `Games >>` sidepanel in the upper left.

**Note:** This script will only generate a map using 'fill' - not any 'edges'

## **","trivial","safe_context","Shmeppy map import script instructions (tool documentation)"
"182","4","3059391067","interacts with the PostgreSQL database.","university students that would be either as tutors for students, or students who will be responsible for continuous feedback as a use (**tutors ratings** will be provided)<br>
 **Stake**: Service Quality
* **Development Team**
  * **Developer 1** – Backend developer. Implement the backend on Java/Spring which","safe_but_relevant","safe_context","Project stakeholder/spec document mentioning a backend that interacts with PostgreSQL"
"182","4","3062096221","interacts with the PostgreSQL database.","In case of using this project in **Innopolis University** we'll change authentication to **innopolis email** login page.

## Stakeholders and their roles 👤
* **Backend Development Team**
  * **Developer 1** – Backend developer. Implement the backend on Java/Spring which","safe_but_relevant","safe_context","Project README for an Innopolis University app with PostgreSQL backend (spec/stakeholders)"
