"record_id","span_idx","doc_ix","span_text","snippet_text","span_safety_label","context_safety","context_topic"
"30","0","174489110","

The Syrian Civil War, which began in 2011, has been a","may believe there is a problem with immigrants here, but it is in no way comparable to the strife and horror occurring in parts of the Middle East. Most of the refugees are seeking peace from war and death-ridden Syria, but there are countless others escaping from Afghanistan, Eritrea as well as other African countries.","trivial","ambiguous_context","Refugee narrative mentioning war and death-ridden Syria and refugees from other countries"
"30","1","65088401","has been a complex and multifaceted","
Powerful Essays
1017 words (2.9 pages)

Health Disparities of elderly population Essay

- The purpose of this paper is to illuminate and discuss healthcare vulnerabilities of the elderly rural population in Baker County, Florida and describe how the nursing profession can address these problems. Rural health","trivial","safe_context","Essay about health disparities of the elderly rural population in Baker County, Florida"
"30","1","540594469","has been a complex and multifaceted","Essay on Health Disparities of elderly population

1379 Words 6 Pages
The purpose of this paper is to illuminate and discuss healthcare vulnerabilities of the elderly rural population in Baker County, Florida and describe how the nursing profession can address these problems. Rural health","trivial","safe_context","Essay (preview) on health disparities for elderly rural population in Baker County, Florida"
"30","1","1304645934","has been a complex and multifaceted","ful Essays
3399 words | (9.7 pages) | Preview

Health Disparities of elderly population

- The purpose of this paper is to illuminate and discuss healthcare vulnerabilities of the elderly rural population in Baker County, Florida and describe how the nursing profession can address these problems. Rural health","trivial","safe_context","Essay preview about health disparities of the elderly rural population in Baker County, Florida"
"30","1","1958715289","has been a complex and multifaceted","theory followRead MoreEssay on Health Disparities of elderly population1379 Words Ã‚  |Ã‚  6 PagesThe purpose of this paper is to illuminate and discuss healthcare vulnerabilities of the elderly rural population in Baker County, Florida and describe how the nursing profession can address these problems. Rural health","trivial","safe_context","Essay text/preview about health disparities of elderly rural population in Baker County, Florida"
"30","2","1678798110","a complex and multifaceted conflict, with","ings, I made my way to the blast site. It was early in the morning. As I neared the Zoobe junction, I could see large crowds gathered behind the yellow tape — mostly women huddled together, crying profusely, wondering about the whereabouts of their loved ones.

The war in Somalia is","trivial","ambiguous_context","Eyewitness-style account near a blast site in Somalia; crowds and the war in Somalia"
"30","3","85320218","involved. However, it is crucial to understand that","
  • Burial expenses
  • Funeral expenses
  • Earned income amounts the deceased would have made had they lived
  • Loss of companionship and support compensation

What to Do Following a Riverside Train Accident

A train accident can result in a chaotic and overwhelming scene for everyone","trivial","safe_context","Compensation checklist and advice for a Riverside train accident"
"30","4","574020852","issues of governance, human rights abuses","He will need to acknowledge that Lesotho’s extreme levels of poverty are the centre of our political challenges.
SADC will need to find a creative way of addressing the structural weaknesses within Lesotho’s anaemic economy.

SADC would be scratching the surface were it to address the","safe_but_relevant","safe_context","SADC/Lesotho political challenges and structural weaknesses in the economy"
"30","5","20040795",". This article aims to elucidate the","main proponent of its spread. Hawai‘i’s economy is largely built on the tourism industry; however, tourists are often unaware of the disease and the practices implemented to contain the current outbreak while visiting the Hawaiian Islands. ROD is a conservation issue that connects humans with the environment and must be addressed using a one-health perspective","trivial","safe_context","Conservation/health article using a one-health perspective about a disease outbreak in Hawai‘i"
"30","5","174897331",". This article aims to elucidate the","’s death was poison. Now what would X be liable for, murder? or Attempt to kidnap? or not liable for anything at all? An additional element in determining the liability in such cases is the “causation”, which gives rise to the question whether or not the act of the accused is the exact or direct cause of the result","trivial","ambiguous_context","Legal liability discussion involving poison, murder, attempt to kidnap, and causation"
"30","5","57748927",". This article aims to elucidate the","the “global superclass,” according to the expression popularized (if not initiated) by Samuel Huntington: the world superclass consists of a transnational network of uprooted and denationalized people, whose gestation dates back at least to the beginning of the 20th century and whose constitution accelerated with the fall of the Soviet bloc","trivial","safe_context","Academic discussion referencing Huntington’s 'global superclass' and transnational networks"
"30","5","235808366",". This article aims to elucidate the","language learning

Scientists have long debated the extent to which attention and conscious effort improve or harm the process of learning a foreign language. This controversy did not lead to a compromise as each side became entrenched in their respective positions, and the only thing that was changed by the passing years was toning down their positions and making some concessions","trivial","safe_context","Research overview on whether attention/conscious effort helps or harms learning a foreign language"
"30","5","123194908",". This article aims to elucidate the","and science, as well as the process of conscious evolution. All human beings can gain a lot from the bountiful dimensions of Yoga, which enables them to manifest their inherent divinity, the universal potentiality that lies dormant unless channelized. ""All souls are potentially divine,"" said Swami Vivekananda and, indeed, they are","trivial","safe_context","Yoga/spirituality text about divine universal potentiality"
"30","5","3293910",". This article aims to elucidate the","appartenance aux élites, etc.) que ceux strictement nécessaires à l’identification personnelle. Elle n’individualise pas mais identifie en renvoyant à un groupe, ici la tribu et sa célébrité. Il s’agit donc plus d’un élément de catégorisation que d’individuation","trivial","safe_context","French linguistics/text about categorization and identification by group/tribe elites"
"30","5","65345002",". This article aims to elucidate the","your terms and services is types in the search tool bar of various search engines.

SEO for your website is deeply dependent upon various Web Hosting features namely the choice of the backend process like Drupal or cPanel, server downtime, the shared hosting and geolocation. These four features varyingly affect the SEO, depending upon your actions and policies","trivial","safe_context","SEO guidance describing how web hosting features affect website search ranking"
"30","6","206886413","

The Syrian Civil War was sparked",".[74] Its principal city, Daraa, was a major transit hub for commercial traffic between Syria, Jordan, Saudi Arabia and Turkey as well as the smuggling of goods between these countries.[74]

Syrian Civil War

An anti-government protest in Daraa, 2013","safe_but_relevant","ambiguous_context","Overview of the Syrian Civil War sparked; Daraa transit hub and anti-government protest in 2013"
