"model","record_id","span_idx","doc_ix","span_text","snippet_text","context_topic","context_safety","span_safety_label"
"olmo2-7b-instruct","30","0","98922472","

The Syrian Civil War, which",": International Pediatric Association
 IPAF — : International Pediatric Association Foundation
 NGO — : nongovernmental organization
 TNPS — : Turkish National Pediatric Society

The Syrian Civil War, which has been ongoing since March 2011, has forced nearly 11 million people from their homes. Of those remaining in Syria,","International Pediatric Association report on Syrian Civil War displacement","safe_context","safe_but_relevant"
"olmo2-7b-instruct","30","1","116747984","
The Syrian Civil War, which began in","valence of informal employment in the Turkish labor markets has amplified the negative impact of Syrian refugee inflows on natives' labor market outcomes.


Introduction
The Syrian Civil War, which began in the Spring of 2011, has displaced millions of Syrians.
Based on the United Nations (UN) figures","Study on Syrian refugee inflows and Turkish labor market","safe_context","safe_but_relevant"
"olmo2-7b-instruct","30","2","124571147","Syrian Civil War, which began in 2011, has","and Syria have observed a truce since Israel reaffirmed its control over most of the Golan Heights in the 1973 Yom Kippur War, but the Syrian Civil War, which began in 2011, has led to several incidents of fire exchange across the once-peaceful borders. The Israeli military is reportedly prepar","Wikipedia article on Syrian Civil War and Israeli border incidents","safe_context","safe_but_relevant"
"olmo2-7b-instruct","30","3","113990667","been a complex and multifaceted","follows from them, illustrate how beauty is interconnected with health and justice. In situations of 'pathological normality' ideals of beauty and health may have unjust consequences. Beauty has always been a complex and multifaceted concept, but the modern polycentric quality of beauty makes the concept even more complex. It does not only produce beauty ideals, which may be un","Academic article on concept of beauty as complex and multifaceted","safe_context","trivial"
"olmo2-7b-instruct","30","3","100607346","been a complex and multifaceted","public attention to residential segregation, long sought by social scientists, comes at a crucial moment of debate within the field as to its direction. Residential segregation has always been a complex and multifaceted phenomenon, but it has grown dramatically more so over time. The challenge for research is to distill this complexity into an accessible and comprehensive assess","Social science article on residential segregation complexity","safe_context","trivial"
"olmo2-7b-instruct","30","3","83902818","been a complex and multifaceted","article offers a review of the existing historiography of the American school principal. Although a small and incomplete body of research, scholarship on the history of the principalship demonstrates that it has always been a complex and multifaceted role and that principals have historically drawn on shifting sources of authority to assert their institutional and personal power. The principalship has also been defined","Historiography review of American school principal role","safe_context","trivial"
"olmo2-7b-instruct","30","4","113017372","a complex and multifaceted conflict","of the same sex. The intergroup conflict was simulated by using the task called ''Viking Investments'', with the permission of its creators [48]. This task describes a complex and multifaceted conflict between a real estate investment company and a carpentry business. Howard et al. [49] used this task to study intergroup disputes","Study on intergroup conflict simulation using 'Viking Investments' task","safe_context","safe_but_relevant"
"olmo2-7b-instruct","30","5","60227199",". However, it is crucial to understand that","ises. It seems counterintuitive to have an expression like |2x + 4| >= 0 because the absolute value of any number, including an expression, is always non-negative. However, it is crucial to understand that the given inequality remains true regardless of the value of x since multiplying or dividing by a negative number reverses the inequality sign. Thus, |","Mathematical explanation of absolute value inequality","safe_context","trivial"
"olmo2-7b-instruct","30","5","60168763",". However, it is crucial to understand that","probability that when drawing two cards only one ace is drawn?"" It might seem intuitive that the order should not matter because either way, you will end up with one ace and another non-ace card. However, it is crucial to understand that the phrasing of the question implies that we need to find the number of ways we can draw one ace followed by any non-ace (first case","Probability question explanation about drawing cards","safe_context","trivial"
"olmo2-7b-instruct","30","5","90106078",". However, it is crucial to understand that","cule force spectroscopy experiments, the dependence of the mean unfolding force on the loading rate is used for obtaining information about the energetic and dynamic properties of the system under study. However, it is crucial to understand that different dynamic force spectroscopy (DFS) models are applicable in different regimes, and that different definitions of the unfolding force might be","Scientific article on dynamic force spectroscopy models","safe_context","trivial"
