=== Step 2.1 (make-part) started at Fri Feb 13 16:14:10 EST 2026 ===
RESUME: parts-0 exists. Will only run make-part for missing part files.
Using 16 batches of 28 jobs each, for a total of 448 jobs.
Ratio: 5, Token width: 2
Processing batch 0 to 28...
  Skip (already done): part 0-1711257852
  Skip (already done): part 1711157852-3422415704
  Skip (already done): part 3422315704-5133573556
  Skip (already done): part 5133473556-6844731408
  Skip (already done): part 6844631408-8555889260
  Skip (already done): part 8555789260-10267047112
  Skip (already done): part 10266947112-11978204964
  Skip (already done): part 11978104964-13689362816
  Skip (already done): part 13689262816-15400520668
  Skip (already done): part 15400420668-17111678520
  Skip (already done): part 17111578520-18822836372
  Skip (already done): part 18822736372-20533994224
  Skip (already done): part 20533894224-22245152076
  Skip (already done): part 22245052076-23956309928
  Skip (already done): part 23956209928-25667467780
  Skip (already done): part 25667367780-27378625632
  Skip (already done): part 27378525632-29089783484
  Skip (already done): part 29089683484-30800941336
  Skip (already done): part 30800841336-32512099188
  Skip (already done): part 32511999188-34223257040
  Skip (already done): part 34223157040-35934414892
  Skip (already done): part 35934314892-37645572744
  Skip (already done): part 37645472744-39356730596
  Skip (already done): part 39356630596-41067888448
  Skip (already done): part 41067788448-42779046300
  Skip (already done): part 42778946300-44490204152
  Skip (already done): part 44490104152-46201362004
  Skip (already done): part 46201262004-47912519856
Processing batch 28 to 56...
  Skip (already done): part 47912419856-49623677708
  Skip (already done): part 49623577708-51334835560
  Skip (already done): part 51334735560-53045993412
  Skip (already done): part 53045893412-54757151264
  Skip (already done): part 54757051264-56468309116
  Skip (already done): part 56468209116-58179466968
  Skip (already done): part 58179366968-59890624820
  Skip (already done): part 59890524820-61601782672
  Skip (already done): part 61601682672-63312940524
  Skip (already done): part 63312840524-65024098376
  Skip (already done): part 65023998376-66735256228
  Skip (already done): part 66735156228-68446414080
  Skip (already done): part 68446314080-70157571932
  Skip (already done): part 70157471932-71868729784
  Skip (already done): part 71868629784-73579887636
  Skip (already done): part 73579787636-75291045488
  Skip (already done): part 75290945488-77002203340
  Skip (already done): part 77002103340-78713361192
  Skip (already done): part 78713261192-80424519044
  Skip (already done): part 80424419044-82135676896
  Skip (already done): part 82135576896-83846834748
  Skip (already done): part 83846734748-85557992600
  Skip (already done): part 85557892600-87269150452
  Skip (already done): part 87269050452-88980308304
  Skip (already done): part 88980208304-90691466156
  Skip (already done): part 90691366156-92402624008
  Skip (already done): part 92402524008-94113781860
  Skip (already done): part 94113681860-95824939712
Processing batch 56 to 84...
  Skip (already done): part 95824839712-97536097564
  Skip (already done): part 97535997564-99247255416
  Skip (already done): part 99247155416-100958413268
  Skip (already done): part 100958313268-102669571120
  Skip (already done): part 102669471120-104380728972
  Skip (already done): part 104380628972-106091886824
  Skip (already done): part 106091786824-107803044676
  Skip (already done): part 107802944676-109514202528
  Skip (already done): part 109514102528-111225360380
  Skip (already done): part 111225260380-112936518232
  Skip (already done): part 112936418232-114647676084
  Skip (already done): part 114647576084-116358833936
  Skip (already done): part 116358733936-118069991788
  Skip (already done): part 118069891788-119781149640
  Skip (already done): part 119781049640-121492307492
  Skip (already done): part 121492207492-123203465344
  Skip (already done): part 123203365344-124914623196
  Skip (already done): part 124914523196-126625781048
  Skip (already done): part 126625681048-128336938900
  Skip (already done): part 128336838900-130048096752
  Skip (already done): part 130047996752-131759254604
  Skip (already done): part 131759154604-133470412456
  Skip (already done): part 133470312456-135181570308
  Skip (already done): part 135181470308-136892728160
  Skip (already done): part 136892628160-138603886012
  Skip (already done): part 138603786012-140315043864
  Skip (already done): part 140314943864-142026201716
  Skip (already done): part 142026101716-143737359568
Processing batch 84 to 112...
  Skip (already done): part 143737259568-145448517420
  Skip (already done): part 145448417420-147159675272
  Skip (already done): part 147159575272-148870833124
  Skip (already done): part 148870733124-150581990976
  Skip (already done): part 150581890976-152293148828
  Skip (already done): part 152293048828-154004306680
  Skip (already done): part 154004206680-155715464532
  Skip (already done): part 155715364532-157426622384
  Skip (already done): part 157426522384-159137780236
  Skip (already done): part 159137680236-160848938088
  Skip (already done): part 160848838088-162560095940
  Skip (already done): part 162559995940-164271253792
  Skip (already done): part 164271153792-165982411644
  Skip (already done): part 165982311644-167693569496
  Skip (already done): part 167693469496-169404727348
  Skip (already done): part 169404627348-171115885200
  Skip (already done): part 171115785200-172827043052
  Skip (already done): part 172826943052-174538200904
  Skip (already done): part 174538100904-176249358756
  Skip (already done): part 176249258756-177960516608
  Skip (already done): part 177960416608-179671674460
  Skip (already done): part 179671574460-181382832312
  Skip (already done): part 181382732312-183093990164
  Skip (already done): part 183093890164-184805148016
  Skip (already done): part 184805048016-186516305868
  Skip (already done): part 186516205868-188227463720
  Skip (already done): part 188227363720-189938621572
  Skip (already done): part 189938521572-191649779424
Processing batch 112 to 140...
  Skip (already done): part 191649679424-193360937276
  Skip (already done): part 193360837276-195072095128
  Skip (already done): part 195071995128-196783252980
  Skip (already done): part 196783152980-198494410832
  Skip (already done): part 198494310832-200205568684
  Skip (already done): part 200205468684-201916726536
  Skip (already done): part 201916626536-203627884388
  Skip (already done): part 203627784388-205339042240
  Skip (already done): part 205338942240-207050200092
  Skip (already done): part 207050100092-208761357944
  Skip (already done): part 208761257944-210472515796
  Skip (already done): part 210472415796-212183673648
  Skip (already done): part 212183573648-213894831500
  Skip (already done): part 213894731500-215605989352
  Skip (already done): part 215605889352-217317147204
  Skip (already done): part 217317047204-219028305056
  Skip (already done): part 219028205056-220739462908
  Skip (already done): part 220739362908-222450620760
  Skip (already done): part 222450520760-224161778612
  Skip (already done): part 224161678612-225872936464
  Skip (already done): part 225872836464-227584094316
  Skip (already done): part 227583994316-229295252168
  Skip (already done): part 229295152168-231006410020
  Skip (already done): part 231006310020-232717567872
  Skip (already done): part 232717467872-234428725724
  Skip (already done): part 234428625724-236139883576
  Skip (already done): part 236139783576-237851041428
  Skip (already done): part 237850941428-239562199280
Processing batch 140 to 168...
  Skip (already done): part 239562099280-241273357132
  Skip (already done): part 241273257132-242984514984
  Skip (already done): part 242984414984-244695672836
  Skip (already done): part 244695572836-246406830688
  Skip (already done): part 246406730688-248117988540
  Skip (already done): part 248117888540-249829146392
  Skip (already done): part 249829046392-251540304244
  Skip (already done): part 251540204244-253251462096
  Skip (already done): part 253251362096-254962619948
  Skip (already done): part 254962519948-256673777800
  Skip (already done): part 256673677800-258384935652
  Skip (already done): part 258384835652-260096093504
  Skip (already done): part 260095993504-261807251356
  Skip (already done): part 261807151356-263518409208
  Skip (already done): part 263518309208-265229567060
  Skip (already done): part 265229467060-266940724912
  Skip (already done): part 266940624912-268651882764
  Skip (already done): part 268651782764-270363040616
  Skip (already done): part 270362940616-272074198468
  Skip (already done): part 272074098468-273785356320
  Skip (already done): part 273785256320-275496514172
  Skip (already done): part 275496414172-277207672024
  Skip (already done): part 277207572024-278918829876
  Skip (already done): part 278918729876-280629987728
  Skip (already done): part 280629887728-282341145580
  Skip (already done): part 282341045580-284052303432
  Skip (already done): part 284052203432-285763461284
  Skip (already done): part 285763361284-287474619136
Processing batch 168 to 196...
  Skip (already done): part 287474519136-289185776988
